epoch,accuracy,loss,val_accuracy,val_f1_sepsis,val_loss,val_precision_sepsis,val_recall_sepsis
0,0.5183393955230713,0.6416448354721069,0.4646666646003723,0.1111111111111111,0.92669677734375,0.07723577235772358,0.19791666666666666
1,0.5208920836448669,0.6475129127502441,0.4646666646003723,0.11924119241192412,0.9318563342094421,0.08058608058608059,0.22916666666666666
2,0.5183393955230713,0.6447883248329163,0.46399998664855957,0.12680115273775217,0.9382955431938171,0.08764940239043825,0.22916666666666666
3,0.5204890370368958,0.6373913884162903,0.4573333263397217,0.11428571428571428,0.9424204230308533,0.07874015748031496,0.20833333333333334
4,0.5294907689094543,0.6436482667922974,0.47066667675971985,0.13609467455621302,0.9291976094245911,0.09504132231404959,0.23958333333333334
5,0.5229074358940125,0.6418354511260986,0.46666666865348816,0.12650602409638553,0.9396297335624695,0.08898305084745763,0.21875
6,0.5183393955230713,0.6331718564033508,0.46266666054725647,0.12461059190031153,0.9413116574287415,0.08888888888888889,0.20833333333333334
7,0.5331183671951294,0.6370317935943604,0.46266666054725647,0.13550135501355012,0.9262399077415466,0.09157509157509157,0.2604166666666667
8,0.538358211517334,0.6295856833457947,0.47333332896232605,0.11320754716981132,0.9462253451347351,0.08108108108108109,0.1875
9,0.5238479375839233,0.6327201724052429,0.4593333303928375,0.12218649517684887,0.9575542211532593,0.08837209302325581,0.19791666666666666
10,0.5315061211585999,0.6269018054008484,0.4593333303928375,0.1238390092879257,0.9528561234474182,0.0881057268722467,0.20833333333333334
11,0.5340588688850403,0.6258572340011597,0.46399998664855957,0.11976047904191617,0.9582284092903137,0.08403361344537816,0.20833333333333334
12,0.5339245200157166,0.6289368867874146,0.46266666054725647,0.12158054711246201,0.9595091938972473,0.08583690987124463,0.20833333333333334
13,0.5277441740036011,0.6239380836486816,0.4713333249092102,0.12962962962962962,0.9639342427253723,0.09210526315789473,0.21875
14,0.5347306132316589,0.6234402656555176,0.44600000977516174,0.12365591397849462,0.9587780237197876,0.08333333333333333,0.23958333333333334
15,0.5336557626724243,0.6210827827453613,0.46266666054725647,0.12422360248447205,0.9622708559036255,0.08849557522123894,0.20833333333333334
16,0.5296251773834229,0.6140900254249573,0.45533332228660583,0.13031161473087818,0.9604699015617371,0.08949416342412451,0.23958333333333334
17,0.5288190245628357,0.6204032897949219,0.468666672706604,0.12179487179487179,0.9782175421714783,0.08796296296296297,0.19791666666666666
18,0.5397017598152161,0.6171905994415283,0.4646666646003723,0.12709030100334448,0.9602035284042358,0.09359605911330049,0.19791666666666666
19,0.5403735041618347,0.608723521232605,0.4533333480358124,0.1125,0.9788796305656433,0.08035714285714286,0.1875
20,0.5349993109703064,0.6151963472366333,0.4646666646003723,0.11912225705329153,0.9667715430259705,0.08520179372197309,0.19791666666666666
21,0.5419857501983643,0.6120244860649109,0.4466666579246521,0.10650887573964497,0.9718233942985535,0.0743801652892562,0.1875
22,0.5450758934020996,0.6109102368354797,0.45399999618530273,0.125,0.9825230240821838,0.08928571428571429,0.20833333333333334
23,0.5343275666236877,0.6145799160003662,0.4593333303928375,0.11038961038961038,0.9941121339797974,0.08018867924528301,0.17708333333333334
24,0.5388956069946289,0.6042413115501404,0.46933332085609436,0.10600706713780919,1.007992148399353,0.08021390374331551,0.15625
